,0,1,2,3,4,5,6
0,https://www.moyareklama.by/single/ad/210853681,210853681,"
2-ком. квартира 45,4 м², 5/5 эт.
            
","Центральный р-н, ул. Советская, д. 54","
68 000 р. 1 497,80  р./м²
","
Агентство ООО ""Твой риэлтер""
",/single_spec.php?id=209978187
1,https://www.moyareklama.by/single/ad/210856387,210856387,"
3-ком. квартира 65,2 м², 10/10 эт.
            
","Центральный р-н, ул. Чечерская, д. 13","
127 920 р. 1 961,96  р./м²
","
Агентство ООО ""Твой риэлтер""
",/single_spec.php?id=209978187
2,https://www.moyareklama.by/single/ad/210858328,210858328,"
3-ком. квартира 71,2 м², 5/9 эт.
            
","Железнодорожный р-н, ул. Чапаева, д. 4","
93 100 р. 1 307,58  р./м²
","
Агентство ООО ""Капитал недвижимости""
",/single_spec.php?id=208314513
3,https://www.moyareklama.by/single/ad/210860270,210860270,"
3-ком. квартира 75,2 м², 18/18 эт.
            
","Советский р-н, пр-т Речицкий, д. 78","
114 540 р. 1 523,54  р./м²
","
Агентство ООО ""Твой риэлтер""
",/single_spec.php?id=209978187
4,https://www.moyareklama.by/single/ad/210859333,210859333,"
1-ком. квартира 30,9 м², 9/10 эт.
            
","Центральный р-н, ул. Чечерская, д. 21","
65 583 р. 2 122,43  р./м²
","
Агентство ОДО ""Юриэлт""
",/single_spec.php?id=209876601
5,https://www.moyareklama.by/single/ad/210860168,210860168,"
1-ком. квартира 35,4 м², 5/5 эт.
            
","Советский р-н, мкр Энергетиков, д. 29","
42 330 р. 1 195,76  р./м²
","
Агентство ООО ""Твой риэлтер""
",/single_spec.php?id=209978187
6,https://www.moyareklama.by/single/ad/210862153,210862153,"
1-ком. квартира 30,9 м², 9/10 эт.
            
","Центральный р-н, ул. Чечерская, д. 27","
62 250 р. 2 016,52  р./м²
","
Агентство ООО ""Твой риэлтер""
",/single_spec.php?id=209978187
7,https://www.moyareklama.by/single/ad/210861389,210861389,"
2-ком. квартира 49,7 м², 4/5 эт.
            
","Центральный р-н, пр-т Ленина, д. 34","
80 735 р. 1 625,76  р./м²
","
Агентство ООО ""Капитал недвижимости""
",/single_spec.php?id=208314513
8,https://www.moyareklama.by/single/ad/210862289,210862289,"
3-ком. квартира 112 м², 3/6 эт.
            
","Железнодорожный р-н, ул. Ленина, д. 51 (Дом Комунны)","
","
Агентство ООО «Гид по недвижимости»
",/single_spec.php?id=207501945
9,https://www.moyareklama.by/single/ad/210863628,210863628,"
1-ком. квартира 38 м², 1/3 эт.
            
","Гомельский р-н, аг. Урицкое, ул. Парковая, д. 7","
51 000 р. 1 342,11  р./м²
","
Агентство ""Гид по недвижимости""
",/single_spec.php?id=207501945
10,https://www.moyareklama.by/single/ad/210861391,210861391,"
2-ком. квартира 55,9 м², 2/10 эт.
            
","Советский р-н, ул. Г.Денисенко, д. 48","
","
Агентство ООО ""Твой риэлтер""
",/single_spec.php?id=209978187
11,https://www.moyareklama.by/single/ad/210862179,210862179,"
3-ком. квартира 79,9 м², 2/10 эт.
            
","Центральный р-н, ул. Тельмана, д. 3 (Новый универмаг)","
237 500 р. 2 972,47  р./м²
","
Агентство ООО ""Гид по недвижимости""
",/single_spec.php?id=207501945
12,https://www.moyareklama.by/single/ad/210871652,210871652,"
3-ком. квартира 78,9 м², 4/5 эт.
            
","Центральный р-н, пр-т Ленина, д. 22 (остановка ""Карповича"")","
","
Агентство ООО ""Ваше агентство недвижимости""
",/single_spec.php?id=210280869
