,title,single_link,address,date
0,"
            1-ком. квартира 38 м², 1/3 эт.
            
        ",/single/ad/210863628,"Гомельский р-н, аг. Урицкое, ул. Парковая, д. 7",2022-11-15
1,"
            3-ком. квартира 78,9 м², 4/5 эт.
            
        ",/single/ad/210871652,"Центральный р-н, пр-т Ленина, д. 22 (остановка ""Карповича"")",2022-11-28
2,"
            4-ком. квартира 63,3 м², 5/5 эт.
            
        ",/single/ad/210866470,"Советский р-н, ул. Б.Хмельницкого, д. 64",2022-11-21
3,"
            1-ком. квартира 35,8 м², 10/16 эт.
            
        ",/single/ad/210868155,"Советский р-н, ул. 60 лет СССР, д. 1 (остановка ""Жукова"")",2022-11-28
4,"
            2-ком. квартира 41,4 м², 1/5 эт.
            
        ",/single/ad/210874044,"Советский р-н, пр-т Речицкий, д. 4б",2022-11-15
5,"
            2-ком. квартира 54 м², 3/5 эт.
            
        ",/single/ad/210880538,"Центральный р-н, ул. Рогачёвская, д. 4",2022-11-28
6,"
            Студия 76,2 м², 18/18 эт.
            
        ",/single/ad/210878073,"Железнодорожный р-н, ул. Бородина, д. 6а",2022-11-21
7,"
            1-ком. квартира 39,9 м², 8/12 эт.
            
        ",/single/ad/210877795,"Новобелицкий р-н, ул. Ильича, д. 85",2022-11-21
8,"
            4-ком. квартира 120 м², 1,3/3 эт.
            
        ",/single/ad/210871982,"Центральный р-н, ул. Кленковская, д. 14 (с видом на оз. Волотовское)",2022-11-11
9,"
            3-ком. квартира 77 м², 12/16 эт.
            
        ",/single/ad/210882336,"Железнодорожный р-н, ул. Виноградная, д. 20 (Район Новая жизнь)",2022-11-28
10,"
            1-ком. квартира 30 м², 3/5 эт.
            
        ",/single/ad/210876068,"Железнодорожный р-н, ул. Ветковская, д. 1 (БелГУТ)",2022-11-22
11,"
            1-ком. квартира 30,5 м², 6/9 эт.
            
        ",/single/ad/210866127,"Центральный р-н, ул. Тельмана, д. 39 (универмаг Гомель)",2022-11-28
12,"
            2-ком. квартира 48,3 м², 8/18 эт.
            
        ",/single/ad/210874748,"Центральный р-н, ул. Бородина, д. 6",2022-11-28
13,"
            3-ком. квартира 72,8 м², 8/18 эт.
            
        ",/single/ad/210874749,"Центральный р-н, ул. Бородина, д. 6",2022-11-25
14,"
            1-ком. квартира 30 м², 4/5 эт.
            
        ",/single/ad/210876066,"Железнодорожный р-н, ул. Комсомольская, д. 15 (БелГУТ)",2022-11-22
15,"
            2-ком. квартира 73,4 м², 8/18 эт.
            
        ",/single/ad/210870316,"Центральный р-н, ул. Бородина, д. 6",2022-09-11
16,"
            1-ком. квартира 31 м², 2/4 эт.
            
        ",/single/ad/210081363,"Железнодорожный р-н, ул. Кирова, д. 44",2022-11-14
17,"
            2-ком. квартира 74,5 м², 11/18 эт.
            
        ",/single/ad/210167993,"Центральный р-н, ул. Бородина, д. 6",2022-10-25
18,"
            3-ком. квартира 75,2 м², 1/10 эт.
            
        ",/single/ad/210354892,"Железнодорожный р-н, ул. Докутович (ост. ""Полесская"")",2022-11-10
19,"
            2-ком. квартира 56,3 м², 8/10 эт.
            
        ",/single/ad/210495201,"Советский р-н, ул. Денисенко, д. 66",2022-03-11
