,number,id,link,title,address,price,company_link,company_name
0,1,210539735,https://www.moyareklama.by/single/ad/210539735,Помещение под производство от 40 до 450 м²,"Советский р-н, ул. Войсковая, д. 7",,None,Собственник
1,2,210539732,https://www.moyareklama.by/single/ad/210539732,Помещение под офис от 11 до 70 м²,"Советский р-н, ул. Сосновая, д. 18",,None,Собственник
2,3,210539733,https://www.moyareklama.by/single/ad/210539733,Помещение под склад от 30 до 500 м²,"Советский р-н, ул. Войсковая, д. 7",,None,Собственник
3,4,210711084,https://www.moyareklama.by/single/ad/210711084,Помещение под офис от 10 до 200 м²,"Гомельский р-н, аг. Еремино, ул. Сурганова, д. 15/3",,None,Собственник
4,5,210757915,https://www.moyareklama.by/single/ad/210757915,Помещение от 10 до 255 м²,"Новобелицкий р-н, г. Гомель, ул. Достоевского, д. 1-1 (Бизнес-центр ""Белица-Сити"")","от 52 р./мес. 5,20  р./м²/мес.",None,Собственник
5,6,210818214,https://www.moyareklama.by/single/ad/210818214,"Помещение под офисы, торговлю, склад от 10,8 до 124,5 м²","Центральный р-н, г. Гомель, ул. Советская, д. 29 (Дом профсоюзов. Центр города)",,None,Собственник
6,7,210818255,https://www.moyareklama.by/single/ad/210818255,"Помещение для торговли, услуг и др. 64 м²","Железнодорожный р-н, г. Гомель, ул. Свиридова, д. 13",,None,Собственник
7,8,210819216,https://www.moyareklama.by/single/ad/210819216,Помещение для торговли 99 м²,"Железнодорожный р-н, г. Гомель, ул. Советская, д. 97",,None,Собственник
8,9,210839689,https://www.moyareklama.by/single/ad/210839689,"Помещение 33,7 м²","Советский р-н, ул. Барыкина, д. 100",,None,Собственник
9,10,210843130,https://www.moyareklama.by/single/ad/210843130,Помещение для торговли 90 м²,"Железнодорожный р-н, ул. 8-я Иногородняя, д. 16А",630 р./мес. 7  р./м²/мес.,None,Собственник
10,11,210847962,https://www.moyareklama.by/single/ad/210847962,Помещение от 10 до 30 м²,"Советский р-н, ул. Барыкина, д. 275 (Первая линия!)",,None,Собственник
11,12,210849954,https://www.moyareklama.by/single/ad/210849954,Помещение от 10 до 200 м²,"Новобелицкий р-н, ул. 2-я Орудийная, д. 15а (остановочный комплекс Кристалл)",,None,Собственник
12,13,210851137,https://www.moyareklama.by/single/ad/210851137,"Помещение административно-торговое 88,8 м²","Железнодорожный р-н, г. Гомель, ул. Привокзальная, д. 2 (рядом магазин Росинка)",,None,Собственник
13,14,210852041,https://www.moyareklama.by/single/ad/210852041,Помещение (состоит из 2-х помещений) 65 м²,"Центральный р-н, ул. Советская, д. 83 (ост. Университет им. Ф.Скорины)",,None,Собственник
14,15,210855216,https://www.moyareklama.by/single/ad/210855216,"Помещение свободного назначения 72,6 м²","Советский р-н, ул. Минская, д. 44",,None,Собственник
