,number,id,link,title,area,rooms,address,price,company_link,company_name
0,1,210719741,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210719741,"3-ком. квартира 62 м², 3/5 эт.",Центральный,3,"Центральный р-н, ул. Комсомольская, д. 5 (школа олимпийского резерва)","120 540 р. 1 943,88  р./м²",/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер"""
1,2,210758310,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210758310,"3-ком. квартира 72,2 м², 3/11 эт.",Советский,3,"Советский р-н, ул. Г.Денисенко","119 885,20 р. 1 660  р./м²",None,"Застройщик Государственное предприятие ""УКС г.Гомеля"""
2,3,210744902,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210744902,"3-ком. квартира 77 м², 3/7 эт.",Центральный,3,"Центральный р-н, б-р Газеты ""Гомельская правда"", д. 10","167 895 р. 2 180,45  р./м²",/single_spec.php?id=209876601,"Агентство ОДО ""Юриэлт"""
3,4,210758168,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210758168,"2-ком. квартира 54,6 м², 5/11 эт.",Советский,2,"Советский р-н, ул. Григория Денисенко",92 547 р. 1 695  р./м²,None,"Застройщик Государственное предприятие ""УКС г.Гомеля"""
4,5,210758326,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210758326,"3-ком. квартира 76 м², 4/5 эт.",Новобелицкий,3,"Новобелицкий р-н, ул. Ильича, д. 30","98 130 р. 1 291,18  р./м²",None,Агентство
5,6,210760505,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210760505,"2-ком. квартира 43,4 м², 3/5 эт.",Железнодорожный,2,"Железнодорожный р-н, ул. Дворникова, д. 8","62 500 р. 1 440,09  р./м²",/single_spec.php?id=209876601,"Агентство ОДО ""Юриэлт"""
6,7,210761702,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210761702,"3-ком. квартира 71,9 м², 1/10 эт.",Центральный,3,"Центральный р-н, ул. Бородина, д. 16 (Ледовый двроец)","128 960 р. 1 793,60  р./м²",/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер"""
7,8,210763398,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210763398,"3-ком. квартира 65,3 м², 1/10 эт.",Советский,3,"Советский район, ул. Сосновая, д. 2","105 256,20 р. 1 611,89  р./м²",/single_spec.php?id=200893805,Агентство ОДО Недвижимость Линия Закона
8,9,210772025,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210772025,"2-ком. квартира 51,5 м², 1/9 эт.",Железнодорожный,2,"Железнодорожный р-н, ул. Свиридова, д. 29","114 400 р. 2 221,36  р./м²",/single_spec.php?id=210652159,"Агентство ООО ""Центр недвижимости ""ПАКОДАН Регион"""
9,10,210767558,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210767558,"1-ком. квартира 30,1 м², 2/3 эт.",Железнодорожный,1,"Железнодорожный р-н, ул. Красноармейская, д. 5","55 430 р. 1 844,59  р./м²",/single_spec.php?id=208314513,"Агентство ООО ""Капитал недвижимости"""
10,11,210772012,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210772012,"3-ком. квартира 77,7 м², 8/9 эт.",Центральный,3,"Центральный р-н, ул. Мазурова, д. 59/3","191 920 р. 2 470,01  р./м²",/single_spec.php?id=210652159,"Агентство ООО ""Центр недвижимости ""Пакодан Регион"""
