,number,id,link,title,address,price,company_link,company_name
0,1,210161116,https://www.moyareklama.by/single/ad/210161116,"Дом 50 м² на участке 4,8 сот.","Новобелицкий р-н, ул. Перевалочная",44 200 р.,/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер"""
1,2,210235096,https://www.moyareklama.by/single/ad/210235096,"Часть дома 66,4 м² на участке 14,7 сот.","Новобелицкий район, пер. 3-й Ильича (Школа №1)","39 865,65 р.",/single_spec.php?id=200893805,"Агентство ОДО ""Недвижимость Линия Закона"""
2,3,210425725,https://www.moyareklama.by/single/ad/210425725,"Дом 82,7 м² на участке 25 сот.","Буда-Кошелевский р-н, д. Особино, ул. Садовая",,None,"Агентство ЧУП ""Агентство недвижимости ""Новые адреса"""
3,4,210430052,https://www.moyareklama.by/single/ad/210430052,"Дом 155 м² на участке 0,4 сот.","Советский р-н, ул. Московская",101 220 р.,/single_spec.php?id=208314513,"Агентство ООО ""Капитал недвижимости"""
4,5,210572425,https://www.moyareklama.by/single/ad/210572425,"Дом 52,1 м² на участке 4,5 сот.","Советский р-н, ул. Пинская",89 394 р.,/single_spec.php?id=210567805,"Агентство ООО ""А21 Недвижимость центр услуг"""
5,6,210471738,https://www.moyareklama.by/single/ad/210471738,"Дом 40,9 м² на участке 25 сот.","Речицкий р-н, д. Чижовка (Борщевский с/с)",44 450 р.,/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер"""
6,7,210572343,https://www.moyareklama.by/single/ad/210572343,"Дом 107 м² на участке 6,8 сот.","Железнодорожный р-н, ул. 1-я Гражданская",60 000 р.,/single_spec.php?id=210567805,"Агентство ООО ""А21 Недвижимость центр услуг"""
7,8,210584052,https://www.moyareklama.by/single/ad/210584052,"Дом 74 м² на участке 24,1 сот.","Гомельский р-н, аг. Урицкое, ул. Ленина",,/single_spec.php?id=208314513,"Агентство ООО ""Капитал недвижимости"""
8,9,210644366,https://www.moyareklama.by/single/ad/210644366,"Дом 264,4 м² на участке 7,5 сот.","Новобелицкий р-н, пер. Полевой, д. 27Б",124 350 р.,/single_spec.php?id=209876601,"Агентство ОДО ""Юриэлт"""
9,10,210690039,https://www.moyareklama.by/single/ad/210690039,"Дом 31,1 м² на участке 15 сот.","Гомельский р-н, аг. Ерёмино, ул. Западная (Ерёминский с/с)",31 750 р.,/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер"""
10,11,210761169,https://www.moyareklama.by/single/ad/210761169,"Полдома 49,5 м² на участке 4,2 сот.","Железнодорожный р-н, ул. Я.Коласа",,/single_spec.php?id=208314513,"Агентство ООО ""Капитал недвижимости"""
11,12,210769582,https://www.moyareklama.by/single/ad/210769582,"Дом 63 м² на участке 7,2 сот.","Советский р-н, ул. Московская",,/single_spec.php?id=208314513,"Агентство ООО ""Капитал недвижимости"""
12,13,210696654,https://www.moyareklama.by/single/ad/210696654,"Дача 13,2 м² на участке 5 сот.","Гомельский р-н, пос. Металлург, СНТ ""Металлург-4""",14 700 р.,/single_spec.php?id=209876601,"Агентство ОДО ""Юриэлт"""
13,14,210744901,https://www.moyareklama.by/single/ad/210744901,"Дом 65,8 м² на участке 5,7 сот.","Железнодорожный р-н, ул. Крупской",,/single_spec.php?id=208314513,"Агентство ""Капитал недвижимости"""
14,15,210770165,https://www.moyareklama.by/single/ad/210770165,"Дом 160,3 м² на участке 11,8 сот.","Гомельский р-н, аг. Бобовичи, ул. Полевая (Бобовичский с/с)",228 950 р.,/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер"""
15,16,210783477,https://www.moyareklama.by/single/ad/210783477,"Дом 76 м² на участке 12,3 сот.","Гомельский р-н, пос. Ченки, ул. Мира",145 200 р.,/single_spec.php?id=210652159,"Агентство ООО ""Центр недвижимости ""Пакодан Регион"""
16,17,210791986,https://www.moyareklama.by/single/ad/210791986,"Часть дома 153,4 м² на участке 6,3 сот.","Советский р-н, ул. Леваневского",,/single_spec.php?id=210280869,"Агентство ООО ""Ваше агентство недвижимости"""
