,id,title,category,address,status,links,lines,prices,developer,image
0,1000019,"

            Микрорайон ""Шведская горка"" № 59

                    ",Советский,"Советский р-н, ул. Пенязькова, ул. Денисенко","

                            Срок сдачи: 4 квартал 2018 г.                    ","['https://www.moyareklama.by//search/Гомель/a5cd1cb24d9deefa003160e2deeaaaab', 'https://www.moyareklama.by//search/Гомель/fd3069a2bdbb5d20ec76e423181f6be9', 'https://www.moyareklama.by//search/Гомель/64f25c2d847a40cb6a42d7eac4c4d88c']","['1-ком. от 36,8 м2 (4)', 'от 64 000 р.', '2-ком. от 53 м2 (3)', 'от 92 547 р.', '3-ком. от 72,2 м2 (2)', 'от 119 885 р.']","['от 64 000 р.', 'от 92 547 р.', 'от 119 885 р.']",Застройщик Гомельский ДСК,https://media1.moyareklama.by/i/p/medium/201811/20181108113906_d00040966d9e164603ab08e6ced0bdfd.jpg
1,1000033,"

            ЖК Многоквартирная новостройка

                    ",Центральный,"Центральный р-н, ул. Волотовская, 11","

                            Сдан

                    ","['https://www.moyareklama.by//search/Гомель/7f18ad637adb54d0e763e7f6a339719b', 'https://www.moyareklama.by//search/Гомель/614ec19e76b6dee42e5dfc85cafb34fe', 'https://www.moyareklama.by//search/Гомель/2ef1b9e17ab8c482bee9ae0bb2e43cb3']","['2-ком. от 65,9 м2 (3)', 'от 145 000 р.', '3-ком. от 100 м2 (3)', 'от 193 630 р.', '6-ком. от 156 м2 (1)', 'от 372 723 р.']","['от 145 000 р.', 'от 193 630 р.', 'от 372 723 р.']","Застройщик ООО ""Электропром""",https://media1.moyareklama.by/i/p/medium/202209/20220929131832_728c0f057fd61d7b8d01b1c9b4d28a13.jpg
2,1000049,"

            ЖК Многоквартирная новостройка

                    ",Железнодорожный,"Железнодорожный р-н, ул. Докутович","

                            Срок сдачи: 4 квартал 2019 г.                    ","['https://www.moyareklama.by//search/Гомель/3a34e8268a867c0c875f528ee414195d', 'https://www.moyareklama.by//search/Гомель/a5e93d8c4257d7fed9cac34d61b6227c', 'https://www.moyareklama.by//search/Гомель/8e452a4d45ed34b4bcee5543329e49e4']","['1-ком. от 41,5 м2 (1)', 'от 74 814 р.', '2-ком. от 53,2 м2 (2)', '3-ком. от 69,9 м2 (2)', 'от 126 084 р.']","['от 74 814 р.', 'от 126 084 р.']",Застройщик УКС г. Гомеля,https://media1.moyareklama.by/i/p/medium/201908/20190802165910_c37c0a09a78b035647a4992a36d62c9b.jpg
3,1000027,"

            Микрорайон «Приозёрный» №19

                    ",Центральный,"Центральный р-н, ул. Мазурова, Бородина, Головацкого","

                            Срок сдачи: 4 квартал 2019 г.                    ","['https://www.moyareklama.by//search/Гомель/cd92e2ec5ce8db176bb2529bedaf8266', 'https://www.moyareklama.by//search/Гомель/1f000b5d96263700af42afe56929137d']","['1-ком. от 34 м2 (1)', 'от 74 600 р.', '2-ком. от 50 м2 (2)', 'от 93 000 р.']","['от 74 600 р.', 'от 93 000 р.']","Застройщик УКС Гомельской области, ЖилСтройПроект ООО",https://media1.moyareklama.by/i/p/medium/201811/20181109111228_96c463ffa257ca617b04331aba84f089.jpg
4,1000031,"

            ЖК по улице Барыкина

                    ",Советский,"Советский р-н, ","

                            Сдан

                    ","['https://www.moyareklama.by//search/Гомель/fb62a05101fe37b911392b5baa3bfc5d', 'https://www.moyareklama.by//search/Гомель/4cf5c107fdc941b9ada074add92cf6c8', 'https://www.moyareklama.by//search/Гомель/3f91fc2df3dfd7a8c6b3c8e873516926']","['1-ком. от 38,6 м2 (1)', 'от 73 000 р.', '2-ком. от 57,4 м2 (1)', 'от 99 600 р.', '3-ком. от 70,5 м2 (1)', 'от 112 000 р.']","['от 73 000 р.', 'от 99 600 р.', 'от 112 000 р.']",Застройщик Гомельский ДСК,https://media1.moyareklama.by/i/p/medium/201811/20181113130020_86d89a7941aa8d2700f03f35babbd612.jpg
5,1000024,"

            Микрорайон ""Кленковский"" № 21

                    ",Центральный,"Центральный р-н, ул. Чечерская","

                            Срок сдачи: 4 квартал 2018 г.                    ",['https://www.moyareklama.by//search/Гомель/904fffc834bb37521c6bc3f2dc0cb0cf'],"['3-ком. от 68,4 м2 (2)', 'от 145 000 р.']",['от 145 000 р.'],Застройщик УКС города Гомеля,https://media1.moyareklama.by/i/p/medium/201811/20181114110801_737bf3605bbc053e454cc6ef9c58e0a7.jpg
6,1000028,"

            Микрорайон №18

                    ",Центральный,"Центральный р-н, ул. Мазурова, 59В","

                            Срок сдачи: 4 квартал 2021 г.                    ","['https://www.moyareklama.by//search/Гомель/0aef40e38c43d94ca813ab9ea6deade4', 'https://www.moyareklama.by//search/Гомель/458c5556e3348b60730fa74f08e05737']","['1-ком. от 44,7 м2 (1)', 'от 88 000 р.', '2-ком. от 62 м2 (1)', 'от 131 000 р.']","['от 88 000 р.', 'от 131 000 р.']","Застройщик ОАО ""Гомельский ДСК""",https://media1.moyareklama.by/i/p/medium/202010/20201008113809_882c8282de504ae032439fb03381c52d.jpg
7,1000029,"

            Коттеджный поселок ""Ченки""

                    ",Гомельский,"Гомельский р-н, ул. Севруковская","

                            Сдан

                    ",['https://www.moyareklama.by//search/Гомель/793212dec921bb93672813e049a96584'],"['2-ком. от 60 м2 (1)', 'от 95 000 р.']",['от 95 000 р.'],"Застройщик ОАО ""Строительный трест №14""",https://media1.moyareklama.by/i/p/medium/201902/20190208130030_473343732b823277efa90229d9bce0dc.jpg
8,1000015,"

            ЖК 10-этажная новостройка

                    ",Новобелицкий,"Новобелицкий р-н, в квартале улиц Ст. Разина - Войкова","

                            Срок сдачи: 3 квартал 2018 г.                    ",['https://www.moyareklama.by//search/Гомель/86ac7b1f4c142d1e536cae617eac576a'],"['3-ком. от 88,5 м2 (1)', 'от 130 000 р.']",['от 130 000 р.'],Застройщик УКС города Гомеля,https://media1.moyareklama.by/i/p/medium/201805/20180504092318_35057b12b2f3e2ffcea58f95f79fc692.jpg
9,1000022,"

            Микрорайон «Южный» № 104

                    ",Новобелицкий,"Новобелицкий р-н, ул. Дубравная, Оськина, Рябиновая","

                            Срок сдачи: 4 квартал 2019 г.                    ",['https://www.moyareklama.by//search/Гомель/98cf4b95df92a545a411a6d4a7035ab8'],"['2-ком. от 54,3 м2 (1)', 'от 90 300 р.']",['от 90 300 р.'],Застройщик Гомельский ДСК,https://media1.moyareklama.by/i/p/medium/201811/20181108123443_44ebb9ee8fe2c7885378e1c6f5e535de.jpg
