,number,id,link,title,address,price,company_link,company_name
0,1,210519105,https://www.moyareklama.by/single/ad/210519105,"Комната 51 м², 8/9 эт.","Центральный район, ул. Хатаевича, д. 45","18 120,75 р.",/single_spec.php?id=200893805,"Агентство ОДО ""Недвижимость Линия Закона"""
1,2,210818732,https://www.moyareklama.by/single/ad/210818732,"2 комнаты в 4-ком. кв-ре 36,6 м², 9/9 эт.","Железнодорожный р-н, ул. Осипова, д. 7",28 000 р.,None,Собственник
2,3,206866163,https://www.moyareklama.by/single/ad/206866163,"Комната в 2-ком. кв-ре 50 м², 8/9 эт.","Железнодорожный р-н, ул. 50 лет БССР, д. 3",26 500 р.,None,Собственник
3,4,208461530,https://www.moyareklama.by/single/ad/208461530,"Комната в 3-ком. кв-ре 17,1 м², 9/9 эт.","Железнодорожный р-н, ул. 50 лет Гомсельмаша, д. 10 (универсам ""Северный"")",30 000 р.,None,Собственник
4,5,210065782,https://www.moyareklama.by/single/ad/210065782,"Комната в 2-ком. кв-ре 12,6 м², 9/14 эт.","Советский р-н, пр-т Октября, д. 82 (Соседи)",22 500 р.,None,Собственник
5,6,210835234,https://www.moyareklama.by/single/ad/210835234,"Доля в 3-ком. кв-ре 61,8 м², 3/5 эт.","Железнодорожный р-н, ул. Б.Царикова, д. 59",17 769 р.,/single_spec.php?id=200856033,"Агентство ООО ""Лига права - Недвижимость"""
6,7,210833263,https://www.moyareklama.by/single/ad/210833263,"Комната в 4-ком. кв-ре 80,9 м², 7/9 эт.","Железнодорожный р-н, ул. 50 лет завода Гомсельмаш, д. 12",16 640 р.,/single_spec.php?id=209978187,"Агентство ООО ""Твой риэлтер"""
7,8,210827471,https://www.moyareklama.by/single/ad/210827471,"Комната в 3-ком. кв-ре 68,5 м², 2/3 эт.","Советский р-н, ул. Калинина",28 899 р.,/single_spec.php?id=209876601,"Агентство ОДО ""Юриэлт"""
8,9,210822079,https://www.moyareklama.by/single/ad/210822079,"Комната в 2-ком. кв-ре 47,2 м², 3/5 эт.","Советский р-н, ул. Жукова, д. 26 (Арэсса)",25 000 р.,None,Собственник
9,10,210812837,https://www.moyareklama.by/single/ad/210812837,"Доля в 3-ком. кв-ре 65,8 м², 2/9 эт.","Советский р-н, пр-т Речицкий, д. 35",25 800 р.,/single_spec.php?id=200856033,"Агентство ООО ""Лига права - Недвижимость"""
10,11,210812442,https://www.moyareklama.by/single/ad/210812442,"Комната в 2-ком. кв-ре 15 м², 2/5 эт.","Советский р-н, пр-т Октября, д. 83",24 101 р.,/single_spec.php?id=209876601,"Агентство ОДО ""Юриэлт"""
