,number,id,link,title,area,rooms,address,price,company_link,company_name
0,1,210882875,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210882875,"3-ком. квартира 65,3 м², 4/9 эт.",Новобелицкий,3,"Новобелицкий р-н, ул. Герцена (Международная)","150 000 р. 2 297,09  р./м²",None,Собственник
1,2,210889266,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210889266,"2-ком. квартира 45 м², 3/5 эт.",Центральный,2,"Центральный р-н, ул. Советская, д. 57 (""Универмаг ""Гомель"")","87 000 р. 1 933,33  р./м²",None,Собственник
2,3,210834564,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210834564,"3-ком. квартира 68,4 м², 3/10 эт.",Центральный,3,"Центральный р-н, ул. Чечерская, д. 92 (Школа № 74)","145 000 р. 2 119,88  р./м²",None,Собственник
3,4,210878073,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210878073,"Студия 76,2 м², 18/18 эт.",Железнодорожный,3,"Железнодорожный р-н, ул. Бородина, д. 6а","148 680 р. 1 951,18  р./м²",None,Собственник
4,5,210883318,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210883318,"4-ком. квартира 114 м², 1/2 эт.",Новобелицкий,4,"Новобелицкий р-н, пр-д 9-го Мая, д. 19/1","129 000 р. 1 131,58  р./м²",None,Собственник
5,6,210832808,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210832808,"4-ком. квартира 120 м², 1,3/3 эт.",Центральный,4,"Центральный р-н, ул. Кленковская, д. 14 (с видом на оз. Волотовское)",,None,Застройщик
6,7,210890807,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210890807,"1-ком. квартира 30 м², 4/5 эт.",Центральный,1,"Центральный, ул. Парижской Коммуны, д. 5",66 000 р. 2 200  р./м²,None,Собственник
7,8,210876068,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210876068,"1-ком. квартира 30 м², 3/5 эт.",Железнодорожный,1,"Железнодорожный р-н, ул. Ветковская, д. 1 (БелГУТ)","58 000 р. 1 933,33  р./м²",None,Собственник
8,9,210890883,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210890883,"3-ком. квартира 64,4 м², 4/10 эт.",Советский,3,"Советский, пр-д Студенческий, д. 13","105 256 р. 1 633,90  р./м²",None,Собственник
9,10,210876066,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210876066,"1-ком. квартира 30 м², 4/5 эт.",Железнодорожный,1,"Железнодорожный р-н, ул. Комсомольская, д. 15 (БелГУТ)",69 000 р. 2 300  р./м²,None,Собственник
10,11,210891050,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210891050,"1-ком. квартира 44,7 м², 6/10 эт.",Центральный,1,"Центральный р-н, ул. Мазурова, д. 101-Б (Ледовый дворец)","88 500 р. 1 979,87  р./м²",None,Собственник
11,12,210874749,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210874749,"3-ком. квартира 72,8 м², 8/18 эт.",Центральный,3,"Центральный р-н, ул. Бородина, д. 6","165 000 р. 2 266,48  р./м²",None,Собственник
12,13,210884885,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210884885,"3-ком. квартира 145,6 м², 8/18 эт.",Центральный,3,"Центральный р-н, ул. Бородина, д. 6","320 000 р. 2 197,80  р./м²",None,Собственник
13,14,210887496,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210887496,"2-ком. квартира 73,4 м², 8/18 эт.",Центральный,2,"Центральный р-н, ул. Бородина, д. 6","180 000 р. 2 452,32  р./м²",None,Собственник
14,15,210891491,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210891491,"2-ком. квартира 57 м², 3/6 эт.",Железнодорожный,2,"Железнодорожный р-н, ул. Советская, д. 119","80 900 р. 1 419,30  р./м²",None,Собственник
15,16,210874748,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210874748,"2-ком. квартира 48,3 м², 8/18 эт.",Центральный,2,"Центральный р-н, ул. Бородина, д. 6","120 000 р. 2 484,47  р./м²",None,Собственник
16,17,210081363,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210081363,"1-ком. квартира 31 м², 2/4 эт.",Железнодорожный,1,"Железнодорожный р-н, ул. Кирова, д. 44","64 500 р. 2 082,66  р./м²",/single_spec.php?id=209876601,"Агентство ОДО ""Юриэлт"""
17,18,210354892,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210354892,"3-ком. квартира 75,2 м², 1/10 эт.",Железнодорожный,3,"Железнодорожный р-н, ул. Докутович (ост. ""Полесская"")","127 000 р. 1 688,83  р./м²",None,"Застройщик Государственное предприятие ""УКС города Гомеля"""
18,19,210495201,https://www.moyareklama.by/Гомель/квартиры_продажа//single/ad/210495201,"2-ком. квартира 56,3 м², 8/10 эт.",Советский,2,"Советский р-н, ул. Денисенко, д. 66","131 800 р. 2 341,03  р./м²",/single_spec.php?id=209876601,"Агентство ОДО ""Юриэлт"""
